auk_id,acc_id,item_id,auk_start_datum,auk_end_datum
1,26,4,2021-08-03 05:33:32,2020-12-24 19:49:45
2,5,2,2021-04-20 04:25:23,2021-07-20 10:37:09
3,24,12,2021-07-09 15:49:51,2021-07-08 12:39:05
4,52,5,2021-02-07 10:51:37,2021-08-30 20:21:02
5,56,9,2021-09-17 02:31:19,2021-06-10 22:13:27
6,1,13,2021-08-13 22:57:33,2021-03-27 13:44:30
7,70,14,2021-05-12 10:44:28,2021-12-02 13:38:59
8,64,8,2021-01-25 02:31:31,2021-01-19 21:31:03
9,9,5,2021-09-27 08:09:27,2021-06-03 07:03:40
10,85,15,2021-10-07 18:55:13,2021-01-25 14:58:31
11,42,10,2021-09-17 01:38:05,2021-08-14 14:56:41
12,45,11,2021-03-08 22:55:30,2020-12-20 17:26:40
13,17,8,2021-07-05 00:27:53,2021-09-04 18:13:45
14,23,9,2021-10-30 13:42:30,2021-05-23 17:44:47
15,34,9,2021-06-21 13:14:43,2021-05-29 11:38:11
16,100,6,2021-05-25 10:53:48,2021-09-28 17:52:51
17,10,8,2021-02-15 08:40:23,2021-02-24 03:40:14
18,11,11,2021-11-15 05:33:14,2021-12-02 10:07:46
19,95,3,2021-11-12 19:14:02,2021-08-01 13:54:49
20,23,14,2021-03-07 23:53:07,2020-12-19 00:27:15
21,67,15,2021-10-10 12:41:37,2021-08-19 20:38:33
22,89,3,2021-05-15 06:27:53,2021-04-10 06:14:49
23,2,14,2021-11-19 03:04:20,2021-05-08 11:24:37
24,19,8,2021-03-02 19:35:09,2021-08-30 01:15:25
25,9,11,2021-08-15 01:00:46,2021-04-15 16:42:56
26,96,12,2021-03-10 08:11:43,2021-03-06 00:22:50
27,12,4,2021-05-31 03:02:21,2020-12-11 11:59:17
28,91,9,2021-02-03 23:46:41,2021-02-13 14:40:52
29,87,9,2021-07-25 05:10:59,2021-01-19 10:49:22
30,97,8,2021-11-10 23:07:52,2021-10-30 08:04:34
31,62,4,2021-01-06 07:23:53,2021-10-25 17:27:01
32,89,2,2021-02-12 03:21:51,2021-01-23 21:33:25
33,41,11,2021-08-09 08:50:20,2021-10-01 04:16:19
34,10,12,2021-05-22 14:38:31,2021-01-07 23:11:56
35,46,11,2021-10-29 05:37:06,2021-04-10 15:41:18
36,65,6,2021-12-02 20:40:27,2021-02-22 05:43:25
37,72,5,2021-03-08 08:37:28,2021-07-08 02:52:01
38,15,12,2021-09-21 05:26:01,2021-05-01 01:00:54
39,2,13,2021-02-10 13:53:28,2021-05-02 23:16:59
40,5,11,2021-02-14 03:54:39,2021-11-07 16:26:43
41,71,12,2021-04-07 03:19:59,2021-11-26 07:56:39
42,22,10,2021-04-07 09:32:45,2021-10-12 09:12:23
43,20,13,2021-07-01 00:21:09,2021-01-12 10:35:33
44,72,4,2020-12-23 18:36:55,2021-04-22 11:44:10
45,60,6,2021-01-07 20:24:20,2021-08-16 20:35:46
46,35,2,2020-12-10 09:51:53,2021-03-11 13:51:44
47,29,10,2021-02-12 03:22:45,2020-12-16 13:35:01
48,82,3,2021-06-20 22:17:02,2021-12-04 07:52:32
49,15,11,2021-08-24 15:22:02,2021-06-26 08:32:11
50,21,8,2021-05-14 21:42:41,2021-07-14 21:18:31
51,44,5,2021-06-16 19:20:44,2021-11-23 03:51:52
52,57,7,2021-05-23 22:34:53,2021-03-30 16:45:23
53,65,13,2021-05-19 16:00:30,2021-09-25 01:25:28
54,43,14,2021-09-03 23:32:45,2021-03-05 16:53:43
55,3,2,2021-08-01 23:11:12,2021-06-21 21:07:58
56,79,7,2021-10-13 22:49:48,2021-06-14 04:28:14
57,37,3,2021-12-04 15:19:36,2021-01-23 09:15:16
58,67,12,2021-04-13 07:43:35,2021-07-10 09:24:59
59,41,1,2021-06-02 15:01:33,2021-02-17 09:38:53
60,51,1,2021-07-12 06:19:14,2021-04-28 00:49:19
61,1,2,2021-09-17 20:25:26,2021-05-30 15:47:47
62,52,11,2021-07-27 13:08:59,2021-08-18 18:00:51
63,53,12,2021-05-07 13:30:20,2021-01-03 11:17:55
64,43,11,2021-11-17 15:32:33,2021-05-23 05:32:59
65,72,14,2021-08-10 06:33:10,2021-09-21 10:25:17
66,3,7,2021-06-05 18:56:25,2021-03-22 03:24:55
67,74,12,2021-06-01 10:00:35,2021-06-19 09:30:44
68,87,15,2021-02-18 13:13:49,2021-05-24 13:38:46
69,13,2,2021-11-14 19:25:29,2021-03-29 16:24:07
70,36,8,2021-03-06 07:08:20,2021-03-29 06:13:11
71,39,8,2021-01-11 22:57:19,2021-09-29 05:27:39
72,65,10,2021-07-03 18:59:27,2021-03-31 10:15:08
73,84,11,2021-06-25 21:55:53,2021-12-03 00:21:16
74,78,8,2021-01-07 09:50:07,2021-01-27 16:57:33
75,43,9,2021-06-29 22:12:04,2021-04-01 16:59:06
76,58,11,2021-11-28 01:25:00,2021-03-28 15:37:42
77,29,12,2021-03-19 15:07:56,2021-02-24 14:41:18
78,32,1,2021-08-18 15:08:04,2021-10-19 22:27:09
79,10,3,2021-04-27 05:12:42,2021-03-13 08:42:51
80,92,8,2021-06-22 18:15:21,2021-04-29 11:12:42
81,80,11,2021-05-15 18:36:40,2021-09-02 10:57:51
82,59,1,2021-01-21 03:32:36,2021-06-14 06:11:08
83,72,12,2021-02-02 11:22:44,2021-04-07 22:49:52
84,51,13,2021-01-12 18:23:37,2021-09-15 04:02:55
85,26,7,2021-03-08 08:02:55,2021-07-30 19:01:47
86,1,9,2021-06-14 21:23:11,2020-12-26 14:23:57
87,61,10,2021-11-11 10:11:43,2021-09-05 11:56:32
88,84,2,2021-09-14 03:27:02,2021-03-01 22:15:06
89,57,14,2021-05-29 12:46:28,2021-01-18 06:02:21
90,14,12,2021-10-10 23:55:17,2021-05-07 02:26:07
91,76,5,2021-06-07 19:13:14,2021-05-19 09:36:11
92,14,8,2021-05-31 12:33:16,2021-02-28 12:07:33
93,63,6,2021-08-25 02:18:24,2021-11-24 17:09:29
94,56,11,2021-09-21 02:08:21,2020-12-07 00:02:59
95,54,15,2021-03-20 01:13:43,2021-09-18 10:13:57
96,41,12,2021-03-22 09:14:54,2021-01-27 19:43:17
97,78,5,2021-03-13 16:02:24,2021-05-10 12:47:38
98,69,3,2020-12-24 22:48:45,2021-11-23 19:27:33
99,85,12,2021-11-28 18:04:49,2021-06-16 13:05:44
100,39,7,2021-05-05 03:51:36,2021-10-29 20:17:45
