best_id,acc_id,best_datum,best_wert
1,20,2021-09-12 01:31:57,26
2,19,2021-04-23 17:17:06,9
3,18,2021-04-03 21:08:56,39
4,17,2021-01-19 15:29:09,35
5,16,2021-06-14 18:24:51,15
6,15,2021-01-11 17:18:01,32
7,13,2021-11-27 22:38:22,37
8,13,2021-01-21 16:18:42,42
9,12,2021-10-17 01:18:00,21
10,11,2021-01-10 05:41:45,2
11,10,2020-12-23 10:11:03,29
12,9,2021-02-22 03:59:38,13
13,8,2021-10-27 02:23:17,31
14,7,2021-09-08 17:15:30,49
15,6,2021-06-30 19:33:21,23
16,5,2021-06-14 10:20:45,49
17,4,2021-01-13 19:15:37,17
18,3,2021-03-21 07:52:36,4
19,2,2021-04-01 16:19:45,25
20,1,2021-09-14 18:53:54,8
