gebot_id,acc_id,auk_id,gebot_wert
1,34,2,78
2,73,7,98
3,13,14,62
4,28,7,2
5,88,7,41
6,18,9,46
7,60,3,61
8,21,3,87
9,9,2,68
10,39,6,92
11,78,10,26
12,24,12,63
13,35,9,14
14,70,11,17
15,44,2,72
16,30,4,48
17,51,10,65
18,19,15,41
19,88,11,49
20,80,14,47
21,10,7,16
22,17,2,70
23,11,6,87
24,47,1,23
25,93,14,42
26,33,6,31
27,69,9,75
28,34,9,17
29,33,1,46
30,94,2,28
31,71,10,99
32,62,10,71
33,45,15,59
34,79,3,32
35,68,6,49
36,82,9,82
37,51,10,25
38,64,9,4
39,36,12,78
40,97,12,38
41,17,13,95
42,76,12,90
43,64,8,49
44,47,12,41
45,82,4,54
46,81,9,98
47,88,11,38
48,57,10,28
49,91,2,52
50,3,7,4
51,51,2,81
52,34,2,94
53,37,13,68
54,96,7,70
55,16,10,50
56,87,3,52
57,32,9,33
58,53,13,87
59,96,12,11
60,96,15,85
61,90,12,19
62,73,11,14
63,22,4,18
64,38,7,82
65,96,14,100
66,71,1,51
67,16,13,88
68,60,13,81
69,15,4,18
70,8,10,43
71,8,1,6
72,81,15,87
73,64,15,39
74,16,1,85
75,5,9,5
76,66,8,62
77,49,12,93
78,32,4,92
79,20,3,23
80,90,11,62
81,36,7,62
82,31,9,38
83,50,12,11
84,39,10,54
85,56,10,38
86,48,4,52
87,98,3,81
88,97,11,38
89,6,5,59
90,49,11,75
91,49,7,31
92,70,6,29
93,11,14,66
94,23,4,49
95,80,14,100
96,42,8,36
97,86,7,62
98,69,14,64
99,95,4,83
100,20,11,82
