item_id,item_name,item_beschreibung,item_preis,item_verkaufbar
1,general booster (20 h),boosted die produktion aller rohstoffe fuer 20 stunden,10,0
2,general booster (10 h),boosted die produktion aller rohstoffe fuer 10 stunden,7,0
3,general booster (1 h),boosted die produktion aller rohstoffe fuer 1 stunden,2,1
4,lehm booster (40 h),boosted die lehm produktion fuer 40 stunden,9,0
5,lehm booster (20 h),boosted die lehm produktion fuer 20 stunden,6,0
6,lehm booster (2 h),boosted die lehm produktion fuer 2 stunden,1,1
7,eisen booster (40 h),boosted die lehm produktion fuer 40 stunden,9,0
8,eisen booster (20 h),boosted die lehm produktion fuer 20 stunden,6,0
9,eisen booster (2 h),boosted die lehm produktion fuer 2 stunden,1,1
10,holz booster (40 h),boosted die lehm produktion fuer 40 stunden,9,0
11,holz booster (20 h),boosted die lehm produktion fuer 20 stunden,6,0
12,holz booster (2 h),boosted die lehm produktion fuer 2 stunden,1,1
13,einheit produktion booster (10 h),boosted die einheit produktion fuer 10 stunden,7,0
14,einheit produktion booster (5 h),boosted die einheit produktion fuer 5 stunden,4,0
15,einheit produktion booster (1 h),boosted die einheit produktion fuer 1 stunden,1,1
