acc_id,item_id,anzahl
39,11,28
87,12,5
92,4,16
76,6,13
29,1,27
22,13,21
66,3,24
68,13,7
92,5,9
94,4,8
8,14,30
91,2,12
96,7,23
9,15,6
11,4,13
43,9,29
74,3,1
92,8,2
62,7,5
26,14,24
35,12,9
52,2,23
32,15,16
64,6,4
68,7,27
38,12,6
88,7,16
28,12,14
87,13,17
56,5,4
9,14,18
21,15,16
52,6,11
50,5,30
95,4,20
100,9,19
86,11,15
84,8,15
83,12,23
11,2,8
41,6,22
96,7,30
24,10,26
77,14,11
55,12,17
100,11,9
25,6,10
2,2,21
42,12,9
89,10,25
53,11,30
14,15,9
95,12,6
32,7,21
94,9,29
79,7,13
53,11,15
49,4,11
9,13,30
100,7,16
48,2,11
76,11,29
92,7,16
62,2,16
63,15,2
98,4,26
90,13,27
50,12,17
69,8,4
57,7,14
18,6,1
23,1,16
53,9,11
52,10,15
52,14,4
59,14,16
46,10,1
65,11,20
55,4,16
15,6,16
18,11,29
14,14,8
11,4,17
82,6,11
72,3,1
80,2,10
60,14,7
32,12,30
52,15,6
52,13,27
41,4,5
68,10,10
5,5,17
83,12,28
20,7,3
79,14,9
17,8,22
14,2,15
93,5,19
70,11,19
13,5,24
42,14,29
63,4,18
65,4,28
9,2,3
65,7,20
52,7,23
68,1,10
99,4,12
56,11,27
20,9,9
56,14,25
98,11,7
18,5,1
89,1,16
49,11,3
64,11,12
30,4,15
30,7,19
63,14,11
58,3,23
75,6,6
57,9,20
52,13,13
35,10,30
16,7,14
41,10,27
67,12,10
53,4,7
76,5,4
51,10,17
97,12,2
44,4,23
22,7,29
19,5,12
60,8,14
93,12,28
98,11,20
15,8,18
24,5,24
94,6,24
72,5,2
96,9,20
49,8,28
14,5,15
29,3,1
52,15,14
78,6,21
92,14,3
98,5,6
69,14,5
24,15,20
13,7,5
9,1,20
45,5,28
22,13,21
82,10,29
69,13,6
59,9,28
3,6,9
4,8,20
38,7,17
91,15,14
77,14,4
64,12,21
40,11,16
36,4,12
29,3,2
58,15,5
77,9,25
26,12,7
10,12,30
71,6,26
86,7,21
57,12,7
5,8,7
27,4,1
21,11,21
51,8,21
73,10,28
46,3,13
30,11,1
58,1,4
92,5,18
46,15,14
39,14,17
82,3,20
91,3,13
41,6,13
6,2,29
44,6,17
19,3,10
30,5,8
13,4,30
5,6,1
67,6,7
61,14,23
93,6,15
59,2,21
61,4,11
63,1,26
29,15,29
18,1,7
17,5,30
27,14,2
89,2,25
43,8,30
24,13,27
91,1,17
39,1,16
74,11,27
27,1,14
61,8,15
38,4,2
50,8,16
99,1,15
41,5,11
50,12,20
78,10,3
6,13,23
3,13,4
38,11,26
48,7,21
9,15,12
70,7,30
90,1,16
84,10,29
9,8,22
72,12,2
5,1,17
59,11,13
57,11,25
91,13,1
90,13,16
79,9,11
5,1,6
51,7,4
4,4,28
80,2,3
89,6,5
32,10,22
48,8,16
11,12,12
34,10,13
38,6,25
65,10,17
100,3,21
3,9,6
65,12,10
47,1,21
18,10,10
46,13,11
9,12,25
82,11,25
19,3,29
1,9,11
86,10,16
64,13,15
26,13,11
72,5,20
26,15,13
28,2,25
18,7,7
92,13,8
51,1,27
39,5,2
86,14,27
65,1,17
2,12,12
88,14,28
13,6,18
32,2,18
80,5,6
10,6,11
12,10,28
18,6,21
68,8,21
59,1,15
68,2,9
3,15,14
70,11,3
73,14,28
91,3,12
55,9,3
49,6,11
19,14,28
90,15,18
63,5,24
78,10,13
64,8,2
49,10,12
90,13,26
33,11,9
62,5,22
64,13,24
18,11,13
90,4,7
55,14,29
1,1,9
2,11,30
