best_id,item_id,anzahl
98,15,16
89,15,28
92,15,1
47,7,7
26,13,7
32,13,13
5,11,23
51,12,26
3,12,15
98,7,15
87,8,12
56,8,10
46,7,28
17,8,7
3,2,21
22,4,18
2,4,10
53,5,3
9,15,1
67,4,29
46,7,11
89,5,2
84,14,28
40,11,8
66,7,26
48,9,2
65,2,16
55,6,3
71,10,5
83,1,17
27,15,13
99,8,4
94,1,29
67,7,3
77,2,4
49,8,21
5,8,3
82,13,5
4,8,29
80,8,26
88,8,1
2,4,26
93,10,5
4,5,7
66,12,23
4,11,3
73,11,21
63,1,2
30,8,26
94,7,22
32,2,19
57,11,10
1,14,27
72,4,24
14,15,4
21,5,10
52,13,25
87,8,29
79,8,30
73,13,15
73,10,6
43,2,26
66,3,25
69,5,13
65,5,21
83,4,30
57,10,21
14,4,1
47,14,15
10,5,30
35,11,15
11,5,17
88,4,2
8,4,29
50,15,13
51,9,29
45,11,18
19,8,20
81,4,14
52,5,9
7,13,14
100,10,2
33,5,11
98,6,23
6,13,5
47,8,6
41,11,14
53,3,17
92,5,27
54,10,28
27,2,9
91,12,2
67,3,27
47,13,15
60,4,27
95,11,5
49,8,10
29,1,26
17,3,30
56,2,25
