id;geplant_am;status;Angreifer;Verteidiger
1;14.11.2018 12:33;Geplant;24;10
2;19.05.2020 12:43;Geplant;37;42
3;26.03.2019 11:32;Verloren;9;29
4;24.08.2018 17:07;Gewonnen;12;5
5;13.07.2017 02:42;Gewonnen;18;29
6;11.01.2019 03:59;Geplant;5;27
7;15.11.2019 10:40;Verloren;25;41
8;07.08.2021 02:55;Verloren;33;32
9;09.09.2019 23:58;Geplant;47;19
10;05.10.2018 09:36;Geplant;45;50
11;18.09.2019 04:22;Gewonnen;11;6
12;12.10.2019 17:34;Gewonnen;33;39
13;14.07.2017 09:34;Verloren;24;27
14;22.10.2020 23:55;Geplant;20;39
15;19.11.2020 03:18;Verloren;35;32
16;24.03.2020 12:43;Verloren;40;44
17;17.11.2021 19:51;Verloren;10;49
18;24.06.2019 21:14;Verloren;22;27
19;21.04.2020 06:47;Geplant;43;46
20;09.11.2019 17:41;Verloren;10;32
21;01.01.2019 01:21;Gewonnen;8;32
22;08.07.2018 16:15;Geplant;46;11
23;11.10.2019 03:12;Verloren;10;32
24;17.07.2020 18:26;Verloren;15;29
25;04.04.2019 09:07;Verloren;4;18
26;06.05.2019 10:00;Verloren;11;40
27;16.07.2017 06:34;Gewonnen;32;27
28;04.07.2019 17:47;Geplant;50;43
29;10.10.2017 08:24;Verloren;46;21
30;25.03.2018 09:07;Geplant;37;3
31;20.07.2019 19:46;Gewonnen;36;10
32;22.12.2017 23:57;Verloren;18;37
33;23.06.2021 08:54;Verloren;43;12
34;24.05.2018 02:19;Gewonnen;50;36
35;25.05.2020 04:09;Geplant;2;27
36;23.11.2021 01:34;Verloren;18;19
37;29.08.2018 15:38;Geplant;4;41
38;17.03.2018 08:34;Verloren;5;30
39;23.02.2019 09:52;Geplant;12;48
40;08.03.2021 21:55;Gewonnen;28;13
41;19.08.2019 07:59;Gewonnen;1;47
42;17.07.2021 00:28;Geplant;45;50
43;27.09.2021 16:27;Gewonnen;16;44
44;14.10.2017 12:52;Geplant;10;42
45;03.10.2021 19:25;Verloren;15;10
46;28.11.2020 22:20;Gewonnen;36;10
47;05.09.2019 23:41;Verloren;2;42
48;02.04.2021 15:16;Gewonnen;48;16
49;31.01.2019 17:27;Geplant;16;32
50;26.04.2018 07:42;Verloren;22;17
51;12.05.2017 07:31;Gewonnen;29;32
52;22.11.2017 12:11;Geplant;50;45
53;13.09.2018 00:00;Gewonnen;11;24
54;28.04.2018 04:31;Verloren;22;18
