bu_id,koe_id ,bu_burgname,bu_lehm,bu_eisen,bu_holz,bu_position_x,bu_position_y
1,1,Vozhj28,1512,613,962,282,206
2,2,Fciai44,761,761,1522,320,99
3,3,Qhwpz86,1076,40,346,79,115
4,4,Umzsm48,1913,931,1427,331,66
5,5,Ahiuo21,1965,1167,1297,468,411
6,6,Ivtcs22,360,1721,357,494,477
7,7,Ferqb57,1278,1309,110,163,71
8,8,Bbwwu39,689,1302,593,344,452
9,9,Cfmbe80,1175,350,294,264,206
10,10,Jumdr88,123,1238,905,276,451
11,11,Tpjfs53,1691,732,1718,156,406
12,12,Glfow87,1511,1131,1580,131,109
13,13,Rvfie76,1573,732,1728,379,332
14,14,Xqgjx68,1468,650,273,48,491
15,15,Qybyu02,9,50,1569,300,298
16,16,Bmhwl08,1134,135,559,433,327
17,17,Vcdkt77,1168,1187,1605,24,446
18,18,Ocsbv02,458,309,1032,476,162
19,19,Mlzys31,1611,1540,1816,213,227
20,20,Ixjuf26,333,751,661,50,30
21,21,Cdzyw92,305,59,235,69,292
22,22,Abbld74,931,830,1375,11,358
23,23,Dfaln11,1111,1872,641,312,435
24,24,Xrfrl25,175,1121,29,201,464
25,25,Eupns09,790,1739,1199,120,226
26,26,Gkaja89,1044,1360,992,436,124
27,27,Pkpcc08,1053,236,264,256,196
28,28,Rbnpe32,1237,313,52,388,380
29,29,Thsyb96,365,671,1146,307,440
30,30,Msupz89,1778,1698,1137,32,150
31,31,Cphhn86,1652,1211,1208,400,464
32,32,Foqdr67,925,1754,1290,304,138
33,33,Mhjcl18,847,1727,1234,2,397
34,34,Cgecn06,1265,34,347,249,463
35,35,Pdwnh06,307,1000,205,339,321
36,13,Vvsra48,880,1012,502,322,187
37,3,Bjqkz28,1295,310,208,305,295
38,21,Zvhej18,1324,863,272,467,305
39,23,Xprrr12,1128,726,58,130,338
40,35,Vvkjt95,1251,736,321,155,408
41,35,Xrpnh05,367,1378,228,341,192
42,12,Pbzzo95,1280,132,1907,162,114
43,15,Pymzh91,1760,1554,240,119,124
44,5,Fwdlk56,1940,1904,292,236,454
45,1,Vwgfg08,24,1571,1573,157,453
46,20,Shnbu91,1383,1082,129,117,100
47,20,Oowza68,1112,726,1332,380,165
48,2,Mkdna62,331,1203,1004,163,233
49,11,Msqjt36,116,873,1732,449,7
50,26,Pecuc66,1081,1285,521,227,172
51,22,Gxpvp56,1621,1985,1253,307,298
52,26,Cgnld79,599,1422,631,92,227
53,5,Cxpyj96,1218,1474,198,202,485
54,12,Vwaoh90,10,84,1615,207,67
55,10,Jttyo75,912,784,1350,286,91
56,34,Qzauc21,1931,790,1615,24,176
57,8,Elulu56,1931,147,911,77,43
58,26,Xogkn47,1892,1005,1735,249,150
59,22,Ffehj43,1951,1169,1899,198,26
60,24,Rxlau51,1030,792,389,152,167
61,22,Wwzxw79,242,1138,1513,242,215
62,5,Scegp47,1345,1403,1422,342,50
63,1,Fxiaj88,1244,1234,1121,142,393
64,13,Ueuuz88,1117,1279,859,385,300
65,35,Acxac68,801,1876,1822,60,468
66,8,Tlgll30,913,1061,431,55,9
67,10,Cbkjc70,1150,1215,1994,450,268
68,2,Huvpg74,1003,223,1879,429,215
69,22,Zolrm64,358,123,1811,71,323
70,35,Gdnax05,937,1995,913,294,118
