id;einheit_id;angriff_id;anzahl
1;2;76;83
2;6;176;253
3;3;599;27
4;9;857;246
5;7;901;202
6;2;644;70
7;2;74;113
8;3;238;188
9;3;962;296
10;7;897;261
11;2;436;18
12;8;427;290
13;3;662;261
14;2;630;171
15;4;84;223
16;4;124;173
17;4;708;249
18;2;684;94
19;8;921;88
20;9;977;267
21;9;106;191
22;4;979;208
23;9;552;39
24;9;475;181
25;3;91;153
26;7;798;109
27;6;814;194
28;3;681;44
29;8;967;97
30;2;232;108
31;4;651;159
32;2;517;108
33;9;853;53
34;8;155;21
35;7;506;79
36;5;684;237
37;5;72;48
38;4;989;119
39;2;862;260
40;2;463;121
41;9;590;278
42;5;336;153
43;6;696;17
44;7;726;288
45;5;884;58
46;2;349;234
47;9;270;5
48;3;76;60
49;2;25;79
50;4;579;19
51;2;942;175
52;8;506;56
53;9;589;92
54;5;629;179
55;9;960;187
56;9;660;134
57;2;440;41
58;9;769;35
59;7;721;216
60;5;638;67
61;3;209;263
62;5;867;21
63;6;345;114
64;2;382;316
65;5;711;148
66;4;99;203
67;8;672;32
68;4;980;176
69;7;78;272
70;8;670;17
71;6;833;75
72;5;201;216
73;5;16;148
74;9;824;303
75;8;446;115
76;6;145;243
77;5;994;129
78;3;927;310
79;8;793;202
80;2;542;80
81;3;530;196
82;4;681;296
83;9;146;154
84;6;363;168
85;9;243;103
86;5;21;183
87;5;418;36
88;4;427;244
89;2;859;287
90;3;822;299
91;4;329;262
92;2;970;2
93;4;970;93
94;6;2;49
95;3;7;304
96;9;831;65
97;8;195;169
98;7;695;159
99;7;608;256
100;5;888;187
101;3;271;158
102;4;694;212
103;3;426;209
104;9;753;88
105;5;28;132
106;8;483;30
107;8;198;233
108;3;73;75
109;2;970;8
110;6;752;188
111;4;999;179
112;3;102;131
113;9;733;268
114;6;63;51
115;2;853;156
116;2;459;309
117;3;400;154
118;6;165;302
119;6;251;310
120;5;968;87
121;3;728;20
122;7;893;64
123;8;569;185
124;9;525;320
125;3;994;302
126;3;644;7
127;6;39;151
128;2;222;94
129;4;228;18
130;8;93;214
131;5;121;174
132;7;182;145
133;6;101;212
134;7;889;288
135;5;616;142
136;4;340;72
137;5;72;296
138;8;651;207
139;7;848;181
140;5;55;20
141;7;630;167
142;7;766;299
143;4;590;145
144;8;795;65
145;4;750;314
146;6;476;101
147;8;189;180
148;2;499;57
149;5;332;40
150;8;615;289
151;5;501;289
152;6;830;308
153;9;589;175
154;4;197;36
155;2;695;161
156;5;452;73
157;2;221;311
158;8;890;277
159;3;67;168
160;9;882;196
161;8;308;148
162;8;727;144
163;9;483;312
164;3;862;233
165;6;716;68
166;4;466;130
167;4;88;291
168;4;376;18
169;9;639;224
170;6;924;100
171;4;792;222
172;9;539;203
173;5;389;248
174;9;393;137
175;4;826;104
176;3;692;177
177;5;48;124
178;4;291;133
179;8;553;209
180;9;973;96
181;9;587;157
182;3;319;190
183;9;547;152
184;6;734;21
185;8;297;227
186;6;790;61
187;6;574;263
188;4;696;16
189;9;806;240
190;8;904;98
191;9;42;175
192;9;217;304
193;7;45;128
194;2;663;149
195;6;796;301
196;4;230;90
197;4;320;174
198;7;697;218
199;9;283;234
200;9;646;212
201;2;885;24
202;2;399;269
203;2;990;264
204;5;492;298
205;6;128;154
206;9;926;96
207;7;418;43
208;6;229;172
209;5;880;185
210;8;635;221
211;8;768;312
212;6;447;145
213;8;22;232
214;4;483;100
215;5;199;114
216;9;144;196
217;5;107;230
218;4;813;152
219;5;6;38
220;4;359;7
221;5;873;8
222;6;694;86
223;9;300;17
224;2;621;113
225;9;481;229
226;9;695;277
227;7;18;104
228;6;568;160
229;2;404;289
230;2;133;78
231;2;730;193
232;9;44;136
233;3;92;269
234;8;827;42
235;4;230;279
236;6;521;116
237;5;120;313
238;9;690;198
239;2;815;144
240;3;520;235
241;7;720;56
242;6;247;267
243;2;544;189
244;3;579;234
245;3;48;45
246;8;410;88
247;2;972;230
248;6;147;132
249;2;249;117
250;7;723;255
251;7;951;8
252;8;200;308
253;7;230;29
254;8;930;284
255;4;116;306
256;8;806;187
257;3;713;193
258;6;181;243
259;6;332;247
260;6;337;26
261;5;425;86
