geb_id,geb_typ,geb_level
1,Holzfaeller,1
2,Lehmgrube,1
3,Eisenmine,1
4,Speicher,1
5,Kaserne,1
6,Rathaus,1
7,Holzfaeller,2
8,Lehmgrube,2
9,Eisenmine,2
10,Speicher,2
11,Kaserne,2
12,Rathaus,2
13,Holzfaeller,3
14,Lehmgrube,3
15,Eisenmine,3
16,Speicher,3
17,Kaserne,3
18,Rathaus,3
19,Holzfaeller,4
20,Lehmgrube,4
21,Eisenmine,4
22,Speicher,4
23,Kaserne,4
24,Rathaus,4
25,Holzfaeller,5
26,Lehmgrube,5
27,Eisenmine,5
28,Speicher,5
29,Kaserne,5
30,Rathaus,5
31,Holzfaeller,6
32,Lehmgrube,6
33,Eisenmine,6
34,Speicher,6
35,Kaserne,6
36,Rathaus,6
37,Holzfaeller,7
38,Lehmgrube,7
39,Eisenmine,7
40,Speicher,7
41,Kaserne,7
42,Rathaus,7
