ge_id,ge_eigenschaft,ge_wert
1,Produktionsrate,10
2,Bauzeit,1
3,Kosten,10
4,Produktionsrate,20
5,Bauzeit,3
6,Kosten,30
7,Produktionsrate,50
8,Bauzeit,10
9,Kosten,100
10,Produktionsrate,100
11,Bauzeit,20
12,Kosten,300
13,Produktionsrate,200
14,Bauzeit,120
15,Kosten,800
16,Produktionsrate,500
17,Bauzeit,300
18,Kosten,1500
19,Produktionsrate,1000
20,Bauzeit,600
21,Kosten,3000
22,Produktionsrate,100
23,Produktionsrate,200
24,Produktionsrate,500
25,Produktionsrate,1000
26,Produktionsrate,2000
27,Produktionsrate,4000
28,Produktionsrate,10000
29,Produktionsrate,7
30,Produktionsrate,6
31,Produktionsrate,5
32,Produktionsrate,4
33,Produktionsrate,3
34,Produktionsrate,2
35,Produktionsrate,1
36,Produktionsrate,2
37,Produktionsrate,4
38,Produktionsrate,8
39,Produktionsrate,16
40,Produktionsrate,32
41,Produktionsrate,64
42,Produktionsrate,128
