gebot_id,acc_id,auk_id,gebot_wert
1,1,1,2
2,2,1,4
3,3,1,6
4,4,1,8
5,5,1,10
6,6,1,12
7,7,1,14
8,8,1,16
9,9,1,18
10,2,2,3
11,4,2,5
12,6,2,7
13,8,2,9
14,10,2,11
15,12,2,13
16,14,2,15
17,16,2,17
18,18,2,19
19,2,2,21
20,4,2,23
21,6,2,25
22,8,2,27
23,11,3,3
24,14,3,6
25,17,3,9
26,3,3,12
27,5,3,15
28,7,3,18
29,9,3,21
30,11,3,24
31,13,3,27
32,1,4,4
33,2,4,8
34,3,4,12
35,4,4,16
36,5,4,20
37,6,4,24
38,7,4,28
39,8,4,32
40,9,4,36
41,15,5,1
42,13,5,3
43,2,5,5
44,16,5,7
45,2,5,9
46,3,5,11
47,8,5,13
48,9,5,15
49,4,5,17
50,2,5,19
