koe_wappen,koe_ruhm,koe_id,welt_id,acc_id
10,1795,1,1,1
4,2981,2,1,2
11,2101,3,1,3
10,770,4,1,4
13,374,5,1,5
5,2110,6,1,6
13,4220,7,1,7
13,2247,8,1,8
15,252,9,1,9
10,619,10,1,10
6,2300,11,1,11
7,4245,12,1,12
15,3555,13,1,13
4,1835,14,1,14
20,4783,15,1,15
17,486,16,1,16
7,1951,17,1,17
7,2355,18,1,18
10,4485,19,1,19
9,3439,20,1,20
10,2385,21,2,1
6,820,22,2,2
3,3516,23,2,3
4,1532,24,2,4
1,2154,25,2,5
5,3298,26,2,6
1,3854,27,2,7
19,4698,28,2,8
1,1129,29,2,9
9,2868,30,2,10
20,1585,31,2,11
12,2584,32,2,12
18,4593,33,3,1
13,4095,34,3,2
17,3256,35,3,3
