id;angriff_id;anzahl;res
561;2;154;Eisen
702;3;787;Lehm
203;4;272;Holz
547;6;952;Eisen
947;7;669;Eisen
809;8;454;Lehm
204;10;216;Eisen
369;10;770;Lehm
604;10;365;Eisen
478;11;212;Holz
628;11;484;Holz
575;12;544;Holz
617;14;877;Holz
192;15;716;Eisen
194;15;552;Lehm
729;18;760;Holz
814;18;128;Lehm
653;19;374;Lehm
737;19;994;Holz
230;20;845;Eisen
688;20;496;Lehm
927;20;855;Eisen
846;21;966;Eisen
282;22;760;Lehm
721;22;369;Holz
23;23;153;Lehm
710;24;336;Eisen
714;24;686;Lehm
734;24;920;Eisen
652;25;868;Holz
943;25;587;Holz
197;26;944;Lehm
432;27;765;Eisen
984;28;592;Holz
807;29;371;Eisen
641;30;200;Eisen
946;32;584;Lehm
661;33;909;Lehm
465;36;147;Lehm
746;39;950;Holz
772;39;411;Holz
122;40;818;Lehm
492;40;132;Lehm
514;41;142;Lehm
605;41;686;Lehm
97;42;167;Holz
336;42;520;Lehm
457;43;610;Eisen
763;43;266;Lehm
491;44;527;Lehm
645;48;487;Eisen
45;51;915;Eisen
564;53;232;Eisen
611;53;149;Holz
933;56;597;Lehm
554;58;949;Holz
608;60;236;Lehm
91;62;201;Holz
165;63;687;Holz
231;64;550;Lehm
890;64;242;Lehm
815;65;196;Holz
509;66;911;Holz
716;66;839;Holz
66;67;451;Lehm
877;67;251;Holz
295;72;819;Holz
911;72;782;Holz
782;77;458;Holz
174;79;833;Eisen
864;80;556;Lehm
179;82;258;Eisen
173;83;353;Holz
325;85;744;Eisen
421;85;809;Eisen
60;86;510;Eisen
267;86;938;Holz
261;88;488;Holz
866;89;790;Lehm
160;90;725;Lehm
399;91;817;Lehm
799;91;736;Lehm
683;92;947;Holz
129;93;189;Lehm
698;93;792;Eisen
670;95;634;Holz
805;95;513;Eisen
901;97;496;Holz
181;98;571;Eisen
1000;99;921;Lehm
217;100;621;Lehm
579;100;739;Holz
932;100;836;Holz
190;101;207;Holz
310;104;433;Lehm
551;105;574;Lehm
580;105;590;Holz
446;106;614;Eisen
447;106;588;Lehm
793;106;406;Eisen
518;107;517;Lehm
367;109;817;Holz
642;111;545;Holz
461;112;384;Holz
8;113;497;Holz
543;113;139;Holz
161;115;440;Lehm
28;116;679;Lehm
58;116;875;Lehm
232;118;763;Eisen
549;118;551;Eisen
615;118;340;Eisen
41;119;368;Eisen
155;122;992;Holz
327;122;714;Eisen
614;122;314;Eisen
971;122;212;Holz
467;123;628;Eisen
494;123;334;Lehm
859;123;233;Eisen
6;124;913;Eisen
388;126;281;Lehm
660;126;162;Lehm
137;127;744;Eisen
268;128;428;Eisen
663;128;728;Lehm
305;131;860;Lehm
907;132;874;Holz
909;133;154;Holz
944;134;505;Lehm
153;135;984;Holz
960;136;270;Lehm
472;137;236;Lehm
706;137;637;Holz
416;138;472;Eisen
876;138;354;Lehm
942;139;642;Holz
167;140;385;Holz
132;141;712;Holz
143;141;646;Holz
188;141;444;Lehm
913;141;666;Eisen
285;143;930;Lehm
322;143;922;Holz
354;143;387;Eisen
186;144;679;Eisen
427;144;454;Lehm
976;144;164;Lehm
860;145;296;Eisen
359;147;104;Lehm
852;147;876;Eisen
534;148;362;Holz
503;149;104;Lehm
749;151;465;Holz
212;153;802;Eisen
829;153;692;Holz
855;153;480;Lehm
205;154;855;Lehm
980;154;803;Holz
65;155;289;Holz
324;157;939;Eisen
428;157;353;Lehm
830;159;844;Lehm
11;160;993;Lehm
929;161;395;Holz
413;163;374;Holz
884;163;845;Eisen
273;164;526;Eisen
386;164;388;Lehm
456;164;334;Holz
110;166;442;Holz
631;169;769;Lehm
639;169;214;Lehm
708;170;119;Eisen
298;171;330;Holz
899;171;991;Eisen
124;172;573;Lehm
172;172;957;Lehm
636;176;962;Eisen
373;180;366;Lehm
832;180;166;Lehm
863;182;801;Holz
902;182;459;Eisen
800;183;769;Holz
517;184;506;Eisen
80;186;459;Lehm
858;186;893;Eisen
496;187;206;Holz
479;188;918;Eisen
303;191;113;Eisen
307;191;594;Lehm
851;191;256;Lehm
940;191;501;Eisen
471;193;613;Holz
597;193;892;Lehm
957;194;297;Eisen
985;194;948;Holz
684;195;273;Eisen
900;200;617;Holz
695;203;559;Eisen
672;204;690;Holz
850;206;136;Lehm
583;207;474;Holz
20;208;593;Lehm
538;208;167;Lehm
31;213;296;Lehm
349;214;869;Eisen
237;215;885;Lehm
34;216;972;Holz
269;217;899;Lehm
30;219;778;Eisen
531;219;811;Holz
677;219;215;Eisen
687;219;997;Eisen
356;220;663;Lehm
769;221;253;Eisen
837;223;207;Lehm
921;224;685;Lehm
777;229;423;Holz
248;230;404;Lehm
574;230;430;Eisen
382;231;676;Eisen
189;234;131;Lehm
612;234;770;Lehm
701;235;352;Eisen
728;235;864;Holz
753;235;793;Holz
134;237;676;Eisen
150;238;776;Holz
239;238;702;Lehm
475;238;186;Eisen
95;239;690;Eisen
158;240;424;Lehm
401;241;956;Holz
892;242;758;Holz
510;243;612;Holz
598;243;410;Lehm
857;244;543;Lehm
548;246;499;Lehm
256;247;794;Lehm
384;247;704;Lehm
591;247;525;Holz
149;249;226;Holz
740;251;195;Eisen
891;257;542;Holz
910;258;555;Holz
101;259;973;Eisen
499;259;601;Lehm
843;259;895;Holz
259;260;127;Holz
314;260;494;Eisen
959;261;493;Holz
297;262;574;Lehm
410;263;358;Eisen
63;264;459;Holz
120;265;171;Lehm
227;265;362;Holz
176;266;145;Eisen
555;269;615;Lehm
139;270;149;Lehm
266;273;566;Eisen
925;273;572;Lehm
38;274;967;Eisen
55;276;135;Holz
168;276;129;Eisen
939;276;491;Lehm
563;277;288;Lehm
625;279;820;Holz
915;279;645;Lehm
184;280;978;Holz
839;280;803;Lehm
104;281;537;Lehm
707;281;109;Holz
253;282;652;Lehm
281;282;212;Holz
697;283;955;Holz
243;284;299;Holz
296;285;990;Lehm
371;286;707;Lehm
417;287;926;Holz
276;288;966;Holz
970;288;547;Holz
44;289;255;Eisen
394;289;127;Lehm
415;290;500;Eisen
744;290;978;Holz
495;291;933;Holz
603;291;360;Holz
241;292;968;Eisen
226;293;570;Holz
535;294;484;Holz
2;296;821;Holz
220;298;705;Holz
627;298;800;Eisen
620;300;801;Lehm
731;303;661;Lehm
854;303;827;Eisen
10;304;759;Eisen
562;304;401;Eisen
845;304;602;Lehm
133;305;917;Lehm
103;306;291;Holz
834;306;419;Holz
258;308;318;Lehm
996;309;248;Eisen
437;311;126;Lehm
363;312;958;Eisen
974;312;300;Holz
952;314;368;Holz
381;315;509;Lehm
458;315;933;Lehm
502;315;970;Holz
778;316;884;Holz
301;317;148;Eisen
550;317;250;Holz
519;318;261;Lehm
571;318;424;Holz
389;320;762;Holz
340;322;915;Eisen
316;323;402;Lehm
292;325;549;Holz
703;328;933;Lehm
657;330;148;Holz
533;332;280;Lehm
924;336;187;Lehm
462;338;133;Lehm
699;338;354;Holz
705;338;828;Holz
981;340;685;Lehm
613;344;514;Lehm
649;345;297;Lehm
713;345;681;Holz
920;346;335;Eisen
978;347;234;Holz
32;350;162;Holz
504;350;480;Holz
576;351;478;Eisen
950;352;108;Lehm
466;353;525;Lehm
470;354;858;Lehm
813;355;134;Eisen
568;356;798;Lehm
541;357;909;Lehm
556;359;407;Holz
317;361;550;Holz
423;361;898;Eisen
676;361;450;Eisen
578;362;536;Holz
3;363;201;Holz
19;363;357;Holz
264;364;767;Holz
403;365;931;Eisen
18;366;782;Holz
255;366;709;Eisen
709;366;853;Holz
584;367;490;Holz
637;367;564;Lehm
735;368;298;Holz
61;369;895;Eisen
87;369;509;Eisen
566;370;498;Eisen
955;370;690;Holz
481;373;560;Eisen
951;373;382;Lehm
73;374;679;Holz
771;374;445;Lehm
895;374;569;Lehm
500;375;244;Eisen
249;376;363;Lehm
49;380;622;Holz
685;388;939;Eisen
116;389;280;Lehm
411;389;323;Lehm
487;389;577;Eisen
392;393;675;Eisen
819;395;406;Eisen
145;396;463;Lehm
780;396;139;Eisen
366;397;321;Eisen
406;398;708;Holz
525;400;702;Lehm
306;402;837;Eisen
441;402;194;Lehm
941;402;390;Lehm
991;402;816;Lehm
209;403;162;Eisen
484;403;374;Lehm
288;406;469;Holz
888;407;277;Lehm
540;408;824;Holz
148;409;547;Lehm
973;409;598;Holz
738;410;264;Holz
400;411;319;Holz
69;412;485;Eisen
442;412;522;Holz
125;414;886;Holz
