geb_id,ge_id
1,1
1,2
1,3
2,1
2,2
2,3
3,1
3,2
3,3
4,2
4,3
4,22
5,2
5,3
5,36
6,1
6,2
6,29
7,4
7,5
7,6
8,4
8,5
8,6
9,4
9,5
9,6
10,4
10,5
10,23
11,4
11,5
11,37
12,4
12,5
12,30
13,7
13,8
13,9
14,7
14,8
14,9
15,7
15,8
15,9
16,7
16,8
16,24
17,7
17,8
17,38
18,7
18,8
18,31
19,10
19,11
19,12
20,10
20,11
20,12
21,10
21,11
21,12
22,10
22,11
22,25
23,10
23,11
23,39
24,10
24,11
24,32
25,13
25,14
25,15
26,13
26,14
26,15
27,13
27,14
27,15
28,13
28,14
28,26
29,13
29,14
29,40
30,13
30,14
30,33
31,16
31,17
31,18
32,16
32,17
32,18
33,16
33,17
33,18
34,16
34,17
34,27
35,16
35,17
35,41
36,16
36,17
36,34
37,19
37,20
37,21
38,19
38,20
38,21
39,19
39,20
39,21
40,19
40,20
40,28
41,19
41,20
41,42
42,19
42,20
42,35
